scenario_name,fault_category,fault_subtype,fault_phases,fault_branch_id,fault_pos_pu,fault_bus_id,fault_location_km,Zf_real_ohm,Zf_imag_ohm,target_fault_type,target_fault_category,target_location_km,min_Va_fault_pu_b650,max_Ia_fault_b650,max_I0_I1_fault_b650,max_I2_I1_fault_b650,mean_Vunb_fault_b650,recovery_Va_post_b650,min_Va_fault_pu_b632,max_Ia_fault_b632,max_I0_I1_fault_b632,max_I2_I1_fault_b632,mean_Vunb_fault_b632,recovery_Va_post_b632,min_Va_fault_pu_b671,max_Ia_fault_b671,max_I0_I1_fault_b671,max_I2_I1_fault_b671,mean_Vunb_fault_b671,recovery_Va_post_b671,min_Va_fault_pu_b684,max_Ia_fault_b684,max_I0_I1_fault_b684,max_I2_I1_fault_b684,mean_Vunb_fault_b684,recovery_Va_post_b684,min_Va_fault_pu_b675,max_Ia_fault_b675,max_I0_I1_fault_b675,max_I2_I1_fault_b675,mean_Vunb_fault_b675,recovery_Va_post_b675
SCN_00001,SHORT_BOLTED,SLG,A,1,0,650,0,0,0,SLG,SHORT_BOLTED,0,0.994523850132288,658.699842220879,0.133996249270864,0.1252705022542,0.14127679776331,0.998152743814522,0.996558622897824,659.447485566283,0.134860636118538,0.126182566811308,1.34669041213507,1.00094392457747,1.00014582955287,361.688948388271,0.45920420965504,0.393705228475848,2.73184033151931,1.00057111297525,0.995858451610376,71.3115595428525,0.434765092276819,0.597879542273107,2.83965053926912,0.996917160196057,0.997305637715268,5.51251297999584e-09,2.64407342540031,1.00703986429499,2.96917361435869,0.999774424415321
SCN_00002,SHORT_BOLTED,SLG,B,1,0,650,0,0,0,SLG,SHORT_BOLTED,0,1.00164253166135,660.394730216656,0.133603599741828,0.12640297510095,0.172994096265778,1.00345801421051,0.997400191727252,659.257480373645,0.135016869448924,0.125058737928285,1.36834676995919,0.999895484106898,0.99808174013012,360.74462357781,0.457461680253666,0.394333389852641,2.74897849075705,1.00189742265744,0.996963790938921,71.220149768921,0.435941632907035,0.595934361558351,2.88266636296396,1.00193803403726,0.993153969387825,4.37264182043487e-09,2.13421378911731,1.0013623780484,2.91818268721108,0.997404058220721
SCN_00003,SHORT_BOLTED,SLG,C,1,0,650,0,0,0,SLG,SHORT_BOLTED,0,0.993135282078668,657.673048894281,0.134944402302011,0.125194316664029,0.125017197997996,0.99537095803546,0.996089285682685,657.899073372526,0.134319363810723,0.125969075761989,1.33829046208297,1.00050593874665,1.0007554866838,360.585356227454,0.459145723851358,0.393363281924932,2.72463991828392,1.00263369847701,0.997768989529622,71.2939661908177,0.435636287833594,0.596331240412978,2.82649435392364,1.00028516317395,0.996485962672671,4.70205100666479e-09,1.86068776287006,1.00374909821443,2.87792955273387,1.00010416413621
SCN_00004,SHORT_BOLTED,LL,AB,1,0,650,0,0,0,LL,SHORT_BOLTED,0,0.998003223434503,656.871614709758,0.134311836987955,0.126465105723569,0.130001722292179,1.00353640343308,1.00071798716651,657.366955479691,0.134704001028552,0.126066918401986,1.31181034512631,1.00447729229976,0.99421696189626,361.144025230782,0.456671723820691,0.395579300281743,2.73032488529551,0.998430305855975,0.995578888982453,71.1778933712314,0.435921834892363,0.596008740536873,2.88926455348785,1.00175525590551,0.998508457294585,5.75727780646628e-09,4.44067627238379,1.00361870231124,2.92306245539808,1.00210490781377
SCN_00005,SHORT_BOLTED,LL,BC,1,0,650,0,0,0,LL,SHORT_BOLTED,0,0.994759252378441,656.415852746659,0.13486693769932,0.12537031716944,0.152639791952545,1.00012423836983,1.0018361611329,659.11538973217,0.135152263850892,0.125304520679183,1.37039063379993,1.00490287187667,1.00190483624898,361.930433768128,0.459471418528079,0.397326787593677,2.76001869050147,1.00445476814331,0.995073449990139,71.5294384291521,0.434415775361865,0.595934344700783,2.87986417601939,0.998779392629069,0.991527976347929,8.187570884875e-09,1.91045313927429,1.00217819818857,2.91945246090641,0.998658376612779
SCN_00006,SHORT_BOLTED,LL,CA,1,0,650,0,0,0,LL,SHORT_BOLTED,0,0.995141289040397,657.523723198737,0.135536804930515,0.124592256178338,0.109143045107078,0.996755622274296,0.996988860240383,660.567299335734,0.133700270396007,0.124307487889567,1.34605339444375,0.999153604331209,0.991917068937158,360.596024541314,0.457288543140004,0.395912493586236,2.7820111166791,0.994678318549931,0.998907134981603,71.3931746354925,0.436968119868357,0.596459017796271,2.83730654638023,1.00477252614151,0.997778005684001,5.62049067776022e-09,2.35533098903227,1.01053400220949,2.96727194201277,1.00009725984007
SCN_00007,SHORT_BOLTED,LLG,ABG,1,0,650,0,0,0,LLG,SHORT_BOLTED,0,0.993653407206484,659.925154968701,0.136950978647063,0.125086733419075,0.144053873447432,0.996982054480372,0.995961374484986,659.35305715602,0.134500411759131,0.124654357324089,1.35755524086775,0.999036451158022,0.997413310009376,361.172988697054,0.457849161208224,0.397108081993359,2.79409083622151,1.0001750970612,0.997793658426131,71.6025940239115,0.43521603177522,0.595903252796162,2.84013772973294,0.999585063076908,0.995075207109274,6.10153866421031e-09,2.02556365285623,1.0132520928362,2.94689563074135,1.00050773891306
SCN_00008,SHORT_BOLTED,LLG,BCG,1,0,650,0,0,0,LLG,SHORT_BOLTED,0,0.997284643020348,657.721486297498,0.135417332097365,0.124168049194757,0.158056975919301,0.999306028599754,0.996878505806743,658.944150662616,0.133333682902752,0.125294456567029,1.28475953321207,1.00007914501404,0.99311834069994,361.948377744219,0.459012658540192,0.393775404458058,2.7570664975616,0.997932516255782,0.998582916224181,71.4458786392574,0.434800901126119,0.595367696754592,2.82484445972757,1.00040373100529,0.999144769249647,9.87563494121307e-09,0.614229000710088,1.00355643049754,2.98264179035498,1.00192290043462
SCN_00009,SHORT_BOLTED,LLG,CAG,1,0,650,0,0,0,LLG,SHORT_BOLTED,0,1.00076841155322,658.713752357388,0.134309390063192,0.123630930284065,0.117887859209247,1.00071490654073,0.997198500015014,658.414766772871,0.13666401797701,0.124596199475154,1.34666841266896,1.00057665293521,0.999313588612028,360.906469315033,0.458025064946679,0.396796930614672,2.73748863150291,1.002520700717,0.998878186962941,71.4219048155188,0.436745678959664,0.596514959657252,2.87796555422293,1.00285123957296,0.99929858739262,8.50300520374473e-09,1.21688977059656,1.0018532841876,2.91920093030562,1.00358780536684
SCN_00010,SHORT_BOLTED,LLL,ABC,1,0,650,0,0,0,LLL,SHORT_BOLTED,0,0.998108469673343,660.009388599545,0.13514425944237,0.125507367733033,0.137885632170283,1.00167337175284,0.996787119892087,659.914369795065,0.13504009670989,0.124713692636263,1.33125262872134,1.00380475787069,0.995679868040404,361.174470580085,0.458712573835795,0.395200274461056,2.74489254280701,1.00035998348356,0.997636866259684,71.3647374581304,0.435432833494356,0.595499437689573,2.87494450261083,1.00176388465681,0.995600267961656,4.91722856461374e-09,1.67570111390662,1.00683767296355,2.90707854287939,0.999874994001926
