scenario_name,fault_category,fault_subtype,fault_phases,fault_branch_id,fault_pos_pu,fault_bus_id,fault_location_km,Zf_real_ohm,Zf_imag_ohm,target_fault_type,target_fault_category,target_location_km,min_Va_fault_pu_b800,max_Ia_fault_b800,max_I0_I1_fault_b800,max_I2_I1_fault_b800,mean_Vunb_fault_b800,recovery_Va_post_b800,min_Va_fault_pu_b802,max_Ia_fault_b802,max_I0_I1_fault_b802,max_I2_I1_fault_b802,mean_Vunb_fault_b802,recovery_Va_post_b802,min_Va_fault_pu_b806,max_Ia_fault_b806,max_I0_I1_fault_b806,max_I2_I1_fault_b806,mean_Vunb_fault_b806,recovery_Va_post_b806,min_Va_fault_pu_b808,max_Ia_fault_b808,max_I0_I1_fault_b808,max_I2_I1_fault_b808,mean_Vunb_fault_b808,recovery_Va_post_b808,min_Va_fault_pu_b812,max_Ia_fault_b812,max_I0_I1_fault_b812,max_I2_I1_fault_b812,mean_Vunb_fault_b812,recovery_Va_post_b812,min_Va_fault_pu_b814,max_Ia_fault_b814,max_I0_I1_fault_b814,max_I2_I1_fault_b814,mean_Vunb_fault_b814,recovery_Va_post_b814,min_Va_fault_pu_b850,max_Ia_fault_b850,max_I0_I1_fault_b850,max_I2_I1_fault_b850,mean_Vunb_fault_b850,recovery_Va_post_b850
SCN_00001,SHORT_BOLTED,SLG,A,1,0,800,0,0,0,SLG,SHORT_BOLTED,0,0.998959944713999,60.3147912573287,0.0242310916898351,0.0203206753526979,0.169275442150108,1.00231940690046,0.995319761091675,60.3451356049446,0.0248862400042595,0.0227037043555107,0.137555834302144,1.00087103426456,0.998612286069832,60.2014224916889,0.0349998285138483,0.0301205375566006,0.134359843805044,1.00241734811284,0.998749372901587,60.2995463714622,0.0360295726442375,0.0319937654707187,0.278572371442237,1.00152877317795,0.994533626466447,60.3526337083319,0.0414096044363437,0.0368064544648263,0.654612020797582,0.998441067151486,0.996568055827489,60.1324733529823,0.0420641151009477,0.0400521768104412,0.970195731103096,1.00160817305208,0.99887167301969,60.2171179763703,0.042074934865947,0.0389894009995924,0.943676046078245,1.00164916623731
SCN_00002,SHORT_BOLTED,SLG,B,1,0,800,0,0,0,SLG,SHORT_BOLTED,0,0.994201229157514,60.2106156117937,0.0232543600406676,0.0197849163245034,0.162672898870553,0.998450412989391,0.991999454294489,60.1331591031739,0.024177684423783,0.0223613277311449,0.133938595159617,0.996754526795698,0.996820909023021,60.2705767148416,0.0353833500099611,0.0311103357775486,0.123709281589176,1.0003973421463,0.998323129157118,60.1365936490901,0.0350022233045882,0.0298787782254123,0.353003638868969,1.00162020748292,0.992093984416068,60.2459675686311,0.0421328625994506,0.0376894715740834,0.645160475113118,0.994100063994439,0.996178263883961,60.4886734107267,0.0417818224544242,0.0383776089532932,0.948507905573419,1.00138713600783,0.996379716029166,60.1696633570858,0.0412381911776427,0.038585716247367,0.907325728662338,1.00063004786636
SCN_00003,SHORT_BOLTED,SLG,C,1,0,800,0,0,0,SLG,SHORT_BOLTED,0,0.995844884244537,60.3587991782093,0.0247979589290742,0.0214885743715923,0.1422448736552,1.00050359113894,0.992945593855158,60.2354773100756,0.0230771990261026,0.0196819325322856,0.128465846387176,0.997855866542691,0.995855627350041,60.1370458946205,0.0340173332172301,0.0316394554717111,0.0968849596240189,0.998365823211809,0.99611503277975,60.3840137272432,0.0346535312442628,0.0312601508458667,0.302484294244065,0.999643698188827,0.995064107648357,60.1851019134407,0.042403113105216,0.0390252644455138,0.636845319518108,0.998432085250215,0.997127587048646,60.2809817469677,0.0425537711122044,0.0387989525280684,0.919919592589616,0.999852838745957,0.999642577422241,60.1648107871874,0.0421599908467666,0.0382876545622752,0.931633367804365,1.00227203874164
SCN_00004,SHORT_BOLTED,LL,AB,1,0,800,0,0,0,LL,SHORT_BOLTED,0,0.995184554340154,60.0520138414326,0.0236702364783855,0.0225000649783796,0.148256125493622,1.00048808506897,0.995545260857837,60.228550994651,0.0248640644208865,0.0201330973412225,0.122626373039326,0.998331373035088,0.996315277636206,60.3347028947935,0.0349966785251519,0.031125814816597,0.144480880381674,1.00106165385468,0.99242757730573,60.2858176495628,0.0345415659577647,0.0318140265243342,0.313268877623139,0.999433663551679,0.997609105408946,60.1220795139333,0.0407354293738756,0.0385828705640473,0.679327552720094,1.00037212474175,0.994763516496131,60.1863781493568,0.042423286657269,0.0391577121102868,0.955850801123356,0.99911785093522,0.99868738058527,60.1914018415595,0.0410657914222804,0.0395671301380775,0.941866793666619,1.00088192158887
SCN_00005,SHORT_BOLTED,LL,BC,1,0,800,0,0,0,LL,SHORT_BOLTED,0,0.993384755797887,60.4015075894433,0.0238946425963936,0.0208788858066495,0.137293838721991,0.997903438938259,0.99651658208738,60.2996024444153,0.0227249182354497,0.0211182326630135,0.100930483403184,0.99878643842308,0.990693565647722,60.2258153914683,0.0333467150650945,0.0307696703330684,0.151901815457536,0.997256902229388,0.994499872883447,60.3788376684524,0.0352817302984462,0.0317168974095164,0.307504819196834,0.999025555489547,0.995024479466756,60.2268171687102,0.0425695867616956,0.0388966981462542,0.600646233421143,0.996019052357592,0.99701822938953,60.10705153794,0.040134140258258,0.0381766958531788,0.909819746096753,1.00074249807587,0.994374794918099,60.1018626867585,0.0410924523379014,0.0377483407415439,0.893057477439113,0.998032204084097
SCN_00006,SHORT_BOLTED,LL,CA,1,0,800,0,0,0,LL,SHORT_BOLTED,0,0.998091024297669,60.1365849561112,0.0256381151066116,0.0208405156023657,0.155542479103561,1.00246834019962,0.995646962967874,60.2220390270587,0.0234015887987546,0.0222385969535686,0.14114998366225,1.00019629003718,1.00064393781246,60.1430169334746,0.0345803212595242,0.0312968074952505,0.140222041521049,1.00536751344838,0.997542026301883,60.1891902476242,0.0338249227233349,0.0306328745374013,0.363596021128157,1.00146134706074,0.993674323744042,60.2465210433635,0.0407037401715303,0.0401977420936987,0.62937805725647,0.995371463842556,0.996978781015633,60.1423449668035,0.0417896136223292,0.0391491860757963,0.959095428638627,1.00046784903717,0.995127454166882,60.3750017233699,0.0435806786763374,0.0379419361894195,0.922038540068087,1.00169256405915
SCN_00007,SHORT_BOLTED,LLG,ABG,1,0,800,0,0,0,LLG,SHORT_BOLTED,0,0.99769327821324,60.2111078546983,0.0262691860197351,0.0212294291326405,0.150954070999891,0.99905340046869,0.995236870817788,60.1808295290167,0.0259980631014077,0.0223740890504796,0.162011142826937,1.00205510392954,0.994629386116139,60.0769563975689,0.0341457925897471,0.0305441102949742,0.13593396777363,0.999923332787818,0.997241272302195,60.0507235372594,0.0357676263631858,0.0298869340774582,0.297905523339195,1.00124096680703,0.993776113992826,60.0689928592933,0.0436776249733967,0.0371765927714943,0.677239087376262,0.99685490719446,0.995354566157584,60.1543198503862,0.0414965617744838,0.0377324873261322,0.950286445109573,0.998502226853973,0.995293580265195,60.0670001559017,0.0408395232831002,0.038476679435989,0.921964941947684,0.996710751244571
SCN_00008,SHORT_BOLTED,LLG,BCG,1,0,800,0,0,0,LLG,SHORT_BOLTED,0,0.995128970122852,60.2733353967422,0.0227375287118258,0.0212494257956311,0.135414743837388,0.999692976797471,0.996500659203272,60.0469289615921,0.0241381532472624,0.0218847169682918,0.139031548119286,1.00135021621292,0.996271494892062,60.1662071813713,0.0356872457639504,0.0312632944729181,0.152565043278423,0.998980267654555,0.996863175050585,60.0836229164264,0.0328853662563392,0.0322966474311106,0.314349431851294,0.999132945158965,0.996434188994545,60.2529018964767,0.042759579471519,0.0372890968885947,0.638699255327629,1.00096573941224,0.999127991099511,60.0913190278995,0.0420460984058057,0.0389136291516169,0.943110101003881,1.00236544000787,0.995656507720593,60.1424060751566,0.0407313980139603,0.0371968789091107,0.96142889161224,1.00098900968638
SCN_00009,SHORT_BOLTED,LLG,CAG,1,0,800,0,0,0,LLG,SHORT_BOLTED,0,0.997288336532369,60.1326068132313,0.0258497174011545,0.0219955303581806,0.148520683067753,1.0006213900186,1.00000743998078,60.1632046547802,0.0239269900645821,0.021826522701422,0.138033342985961,1.00173338901774,0.996230888997887,60.147108989953,0.0353778926765219,0.0296275258256141,0.133570174131932,1.0002278465236,0.996758378104878,60.1874075357596,0.0338919944032956,0.0307395911621189,0.260880036506313,0.999950527143351,0.995099818204386,60.1001938164193,0.0405967680651713,0.0388032886079442,0.614293471643819,0.999116120183327,0.996450588033827,60.1295119592635,0.0435846997923109,0.037670929454036,0.942041342310759,1.00117234647818,0.996145779465071,60.2899369448311,0.0442322662413938,0.041331837695698,0.955545837215241,1.00006560350782
SCN_00010,SHORT_BOLTED,LLL,ABC,1,0,800,0,0,0,LLL,SHORT_BOLTED,0,0.991305025004008,60.273487572168,0.0248967675476428,0.021634241293728,0.21144908673439,0.995272723326744,0.994221088968235,60.1692014018489,0.023466780227615,0.0224924286699082,0.137645142981685,0.998098675829049,0.995581364193927,60.1617177526751,0.0355649619046887,0.0307386501860268,0.150747857510071,0.998587229558845,0.998815841859613,60.1527078240836,0.0354034607653713,0.0311081130795321,0.290047054163511,1.003169453341,0.995732791664498,60.3040433407295,0.0420078092746707,0.0383915322987632,0.618679950148212,1.0001526172547,0.999565830991771,60.1963681463636,0.0424143147870108,0.0378683816275258,0.906174484615775,1.00246857287854,0.996961432140962,60.0291858660198,0.0425524197968504,0.0382747983523709,0.906762218059264,0.999572028933546
